nameWithOwner,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,totalIssues,closedIssues
gradio-app/gradio,2018-12-19T08:24:04Z,2025-08-19T20:17:03Z,Python,4744,1000,5922,5490
helix-editor/helix,2020-06-01T04:26:56Z,2025-08-19T19:03:17Z,Rust,4245,30,5376,4536
lukasz-madon/awesome-remote-job,2015-01-02T00:31:34Z,2025-08-19T20:16:58Z,,592,0,79,75
slidevjs/slidev,2021-04-24T01:25:23Z,2025-08-19T20:21:37Z,TypeScript,710,394,1213,1072
google-research/bert,2018-10-25T22:57:34Z,2025-08-19T17:49:54Z,Python,32,0,1145,355
virattt/ai-hedge-fund,2024-11-29T16:30:01Z,2025-08-19T17:57:35Z,Python,33,0,217,198
wg/wrk,2012-03-20T11:12:28Z,2025-08-19T13:55:13Z,C,0,0,406,262
php/php-src,2011-06-16T01:52:25Z,2025-08-19T16:35:15Z,C,4251,23,4314,3490
QSCTech/zju-icicles,2016-06-28T16:17:32Z,2025-08-19T16:31:32Z,HTML,224,0,78,69
harry0703/MoneyPrinterTurbo,2024-03-11T02:57:34Z,2025-08-19T19:28:18Z,Python,136,9,573,393
evanw/esbuild,2016-06-14T16:08:50Z,2025-08-19T20:22:08Z,Go,246,301,3756,3245
floodsung/Deep-Learning-Papers-Reading-Roadmap,2016-10-14T11:49:48Z,2025-08-19T16:53:44Z,Python,28,0,57,5
gedoor/legado,2019-05-22T04:18:58Z,2025-08-19T17:50:58Z,Kotlin,1134,115,2965,2922
sharkdp/fd,2017-05-09T21:27:10Z,2025-08-19T20:17:14Z,Rust,651,40,916,787
upscayl/upscayl,2022-07-30T17:19:20Z,2025-08-19T19:35:34Z,TypeScript,100,29,949,890
byoungd/English-level-up-tips,2017-05-30T07:18:52Z,2025-08-19T17:01:52Z,HTML,26,0,101,72
videojs/video.js,2010-05-14T18:45:10Z,2025-08-19T16:31:12Z,JavaScript,1801,332,5384,4807
ChrisTitusTech/winutil,2022-04-28T02:25:19Z,2025-08-19T18:56:24Z,PowerShell,846,22,1898,1706
lm-sys/FastChat,2023-03-19T00:18:02Z,2025-08-19T18:40:16Z,Python,849,14,1899,1066
Dogfalo/materialize,2014-09-12T19:35:38Z,2025-08-19T16:24:53Z,JavaScript,449,41,5222,4599
pingcap/tidb,2015-09-06T04:01:52Z,2025-08-19T20:22:24Z,Go,33069,210,21280,17238
jgm/pandoc,2010-03-20T20:34:23Z,2025-08-19T14:14:47Z,Haskell,1684,147,7980,7011
vim/vim,2015-08-18T21:03:56Z,2025-08-19T20:22:26Z,Vim Script,440,0,8918,7402
go-gorm/gorm,2013-10-25T08:31:38Z,2025-08-19T14:07:45Z,Go,753,5,6001,5549
curl/curl,2010-03-18T22:32:22Z,2025-08-19T19:04:38Z,C,198,91,5149,5137
tmux/tmux,2015-06-03T23:32:55Z,2025-08-19T19:31:19Z,C,1,37,3713,3659
zhayujie/chatgpt-on-wechat,2022-08-07T08:33:41Z,2025-08-19T15:45:11Z,Python,261,63,1999,1699
ray-project/ray,2016-10-25T19:38:30Z,2025-08-19T20:20:12Z,Python,27110,108,20907,18217
remoteintech/remote-jobs,2015-10-13T03:49:25Z,2025-08-19T18:25:48Z,JavaScript,1283,0,190,168
aria2/aria2,2010-11-27T09:41:48Z,2025-08-19T20:22:32Z,C++,253,24,1890,824
mem0ai/mem0,2023-06-20T08:58:36Z,2025-08-19T20:13:10Z,Python,1663,265,1088,730
google/styleguide,2015-05-20T19:18:59Z,2025-08-19T20:22:34Z,HTML,194,0,354,239
suno-ai/bark,2023-04-07T19:34:48Z,2025-08-19T18:14:54Z,Jupyter Notebook,19,0,468,239
DIYgod/RSSHub,2018-04-02T14:43:21Z,2025-08-19T20:12:57Z,TypeScript,11048,0,6091,5739
saadeghi/daisyui,2020-11-28T22:57:27Z,2025-08-19T17:46:01Z,Svelte,426,100,1973,1927
QuivrHQ/quivr,2023-05-12T23:53:30Z,2025-08-19T17:31:41Z,Python,1819,354,1535,1533
phaserjs/phaser,2013-04-12T12:27:51Z,2025-08-19T15:23:54Z,JavaScript,1729,171,4553,4473
trpc/trpc,2020-07-18T01:17:11Z,2025-08-19T17:16:07Z,TypeScript,3708,217,1283,1139
files-community/Files,2019-01-04T18:19:14Z,2025-08-19T20:03:58Z,C#,5335,123,10597,10098
photoprism/photoprism,2018-01-27T12:00:15Z,2025-08-19T17:44:37Z,Go,811,78,2379,1956
makeplane/plane,2022-11-19T12:55:01Z,2025-08-19T20:01:24Z,TypeScript,5580,48,1313,868
PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,2025-08-19T12:54:17Z,Java,191,44,4963,2899
logseq/logseq,2020-05-23T00:06:06Z,2025-08-19T19:35:19Z,Clojure,3065,150,7917,6688
freefq/free,2020-06-07T02:48:33Z,2025-08-19T19:30:04Z,,0,0,750,215
impress/impress.js,2011-12-28T22:23:19Z,2025-08-19T15:49:23Z,JavaScript,120,15,483,431
google/leveldb,2014-08-27T21:17:52Z,2025-08-19T19:54:06Z,C++,64,21,777,537
koalaman/shellcheck,2012-11-17T03:15:11Z,2025-08-19T17:35:24Z,Haskell,306,30,2848,1718
preactjs/preact,2015-09-11T02:40:18Z,2025-08-19T18:26:12Z,JavaScript,1918,231,1893,1838
appsmithorg/appsmith,2020-06-30T04:07:36Z,2025-08-19T17:04:03Z,TypeScript,13945,290,23568,19224
ccxt/ccxt,2017-05-14T15:41:56Z,2025-08-19T20:06:20Z,Python,13358,173,10910,10092
novuhq/novu,2021-08-26T15:22:44Z,2025-08-19T18:30:59Z,TypeScript,6006,50,1618,1397
calcom/cal.com,2021-03-22T13:47:42Z,2025-08-19T19:42:16Z,TypeScript,10498,506,8073,6919
goabstract/Awesome-Design-Tools,2019-02-12T13:55:30Z,2025-08-19T17:10:17Z,JavaScript,283,0,43,25
gto76/python-cheatsheet,2018-01-25T04:16:53Z,2025-08-19T18:35:20Z,Python,14,0,65,60
2noise/ChatTTS,2024-05-27T18:26:49Z,2025-08-19T17:17:26Z,Python,214,6,656,587
karanpratapsingh/system-design,2022-08-15T18:59:54Z,2025-08-19T19:43:15Z,,11,0,22,21
FreeCodeCampChina/freecodecamp.cn,2016-09-30T03:13:43Z,2025-08-19T18:04:37Z,CSS,55,0,586,445
LAION-AI/Open-Assistant,2022-12-13T05:24:17Z,2025-08-19T17:31:34Z,Python,1614,127,1645,1417
ant-design/ant-design-pro,2017-08-25T10:40:44Z,2025-08-19T15:50:40Z,TypeScript,1008,26,9754,9601
gofiber/fiber,2020-01-16T03:59:20Z,2025-08-19T19:37:02Z,Go,1797,127,1570,1480
cloudcommunity/Free-Certifications,2020-07-31T10:26:19Z,2025-08-19T20:12:16Z,,114,0,106,69
menloresearch/jan,2023-08-17T02:17:10Z,2025-08-19T20:12:18Z,TypeScript,2640,87,2843,2699
eugenp/tutorials,2013-04-29T18:26:36Z,2025-08-19T06:23:03Z,Java,13364,0,789,772
lapce/lapce,2018-02-06T08:41:06Z,2025-08-19T17:31:34Z,Rust,1171,32,1976,1177
istio/istio,2016-11-18T23:57:21Z,2025-08-19T19:48:47Z,Go,28405,393,21146,20675
naptha/tesseract.js,2015-06-24T02:49:52Z,2025-08-19T14:14:12Z,JavaScript,195,56,726,695
payloadcms/payload,2021-01-05T18:49:45Z,2025-08-19T19:45:04Z,TypeScript,5798,521,3729,3343
TencentARC/GFPGAN,2021-03-19T06:18:20Z,2025-08-19T15:38:01Z,Python,14,8,499,134
dotnet/aspnetcore,2014-03-11T06:09:42Z,2025-08-19T18:07:37Z,C#,17739,258,37591,34025
0voice/interview_internal_reference,2019-06-10T06:54:19Z,2025-08-19T08:58:56Z,Python,35,0,49,19
dockur/windows,2024-01-14T13:09:40Z,2025-08-19T20:02:48Z,Shell,411,104,831,737
DataExpert-io/data-engineer-handbook,2023-11-19T19:47:41Z,2025-08-19T20:07:17Z,Jupyter Notebook,171,0,76,64
Kong/insomnia,2016-04-23T03:54:26Z,2025-08-19T15:20:42Z,TypeScript,3342,523,3874,3194
fastapi/full-stack-fastapi-template,2019-02-23T15:08:34Z,2025-08-19T20:22:56Z,TypeScript,410,10,428,259
inkonchain/docs,2024-05-07T16:49:36Z,2025-08-19T13:01:35Z,MDX,393,0,34,13
inkonchain/node,2024-05-13T23:20:40Z,2025-08-19T13:00:30Z,Shell,35,6,23,13
denysdovhan/wtfjs,2017-07-14T15:42:12Z,2025-08-19T18:33:05Z,JavaScript,125,25,117,95
freeCodeCamp/devdocs,2013-10-24T18:16:07Z,2025-08-19T17:30:49Z,Ruby,925,0,1230,1039
NervJS/taro,2018-04-08T09:32:26Z,2025-08-19T19:23:12Z,TypeScript,3392,200,12539,11015
inkonchain/ink-kit,2024-11-04T16:32:17Z,2025-08-19T13:01:27Z,TypeScript,90,0,4,3
Aider-AI/aider,2023-05-09T18:57:49Z,2025-08-19T20:05:45Z,Python,263,93,3687,2690
siyuan-note/siyuan,2020-08-30T09:21:35Z,2025-08-19T20:16:20Z,TypeScript,481,812,14894,14453
exacity/deeplearningbook-chinese,2016-12-07T11:46:51Z,2025-08-19T15:34:32Z,TeX,16,7,203,139
facebookresearch/faiss,2017-02-07T16:07:05Z,2025-08-19T17:37:26Z,C++,137,20,2673,2441
milvus-io/milvus,2019-09-16T06:43:43Z,2025-08-19T20:11:27Z,Go,22763,128,14033,13453
vlang/v,2019-02-08T02:57:06Z,2025-08-19T17:20:29Z,V,12258,273,9684,8590
alibaba/arthas,2018-08-29T17:15:57Z,2025-08-19T13:26:53Z,Java,540,59,2094,1722
huihut/interview,2018-02-09T09:49:48Z,2025-08-19T16:22:18Z,C++,35,0,66,65
google/googletest,2015-07-28T15:07:53Z,2025-08-19T13:44:48Z,C++,813,11,2323,1979
AobingJava/JavaFamily,2019-11-12T04:26:18Z,2025-08-19T12:58:41Z,,2,0,65,60
halo-dev/halo,2018-03-21T12:56:52Z,2025-08-19T15:42:51Z,Java,2614,226,4317,4011
satwikkansal/wtfpython,2017-08-28T20:22:19Z,2025-08-19T16:05:44Z,Python,113,2,222,157
babysor/MockingBird,2021-08-07T03:53:39Z,2025-08-19T17:31:27Z,Python,80,1,888,412
openai/gym,2016-04-27T14:59:16Z,2025-08-19T17:26:46Z,Python,998,19,1837,1726
httpie/cli,2012-02-25T12:39:13Z,2025-08-19T19:54:25Z,Python,406,47,902,722
ToolJet/ToolJet,2021-03-30T08:51:34Z,2025-08-19T17:45:33Z,JavaScript,6638,317,4988,4360
docling-project/docling,2024-07-09T07:50:26Z,2025-08-19T20:23:15Z,Python,510,115,1099,618
chatboxai/chatbox,2023-03-06T12:22:15Z,2025-08-19T19:26:26Z,TypeScript,70,47,2265,1450
usebruno/bruno,2022-09-27T20:51:45Z,2025-08-19T18:47:30Z,JavaScript,1257,140,3039,1845
zbezj/HEU_KMS_Activator,2019-06-23T00:49:35Z,2025-08-19T16:27:37Z,,0,48,182,28
google-research/google-research,2018-10-04T18:42:48Z,2025-08-19T10:33:45Z,Jupyter Notebook,29,0,1405,343
open-guides/og-aws,2016-07-13T17:30:16Z,2025-08-19T13:00:29Z,Shell,498,0,227,87
rapid7/metasploit-framework,2011-08-30T06:13:20Z,2025-08-19T20:02:33Z,Ruby,11340,0,6277,5843
hiroi-sora/Umi-OCR,2022-03-28T04:01:46Z,2025-08-19T15:29:54Z,Python,56,31,782,512
nushell/nushell,2019-05-10T16:59:42Z,2025-08-19T19:04:09Z,Rust,7887,111,6628,5148
opentofu/manifesto,2023-08-13T16:17:24Z,2025-08-19T19:53:44Z,HTML,765,0,26,14
date-fns/date-fns,2014-10-06T10:24:22Z,2025-08-19T06:34:46Z,TypeScript,1068,122,1997,1367
shadowsocks/shadowsocks-android,2012-12-16T13:40:29Z,2025-08-19T17:40:25Z,Kotlin,256,185,2505,2457
lerna/lerna,2015-12-04T09:36:55Z,2025-08-19T09:31:53Z,TypeScript,997,244,2674,2278
docker/compose,2013-12-09T11:40:58Z,2025-08-19T17:47:39Z,Go,3541,263,8114,8039
NanmiCoder/MediaCrawler,2023-06-09T12:14:34Z,2025-08-19T18:15:12Z,Python,101,0,491,391
chatchat-space/Langchain-Chatchat,2023-03-31T12:12:45Z,2025-08-19T13:39:48Z,TypeScript,615,31,4186,4078
XingangPan/DragGAN,2023-05-18T10:08:02Z,2025-08-19T17:31:41Z,Python,18,0,191,46
crewAIInc/crewAI,2023-10-27T03:26:59Z,2025-08-19T19:57:21Z,Python,927,99,1485,1434
SheetJS/sheetjs,2012-12-03T19:25:52Z,2025-08-19T13:35:16Z,,106,0,2386,2267
formulahendry/955.WLB,2019-03-27T23:53:37Z,2025-08-19T18:28:37Z,,18,0,263,82
geekxh/hello-algorithm,2020-05-29T05:47:09Z,2025-08-19T15:47:42Z,Java,26,0,44,33
imputnet/cobalt,2022-07-08T18:12:55Z,2025-08-19T20:07:03Z,Svelte,243,0,939,776
typeorm/typeorm,2016-02-29T07:41:14Z,2025-08-19T14:31:17Z,TypeScript,2176,38,8395,6057
carbon-app/carbon,2017-06-16T02:50:28Z,2025-08-19T17:27:37Z,JavaScript,668,215,686,627
koajs/koa,2013-07-20T18:53:45Z,2025-08-19T20:20:44Z,JavaScript,522,9,925,909
openai/codex,2025-04-13T05:37:54Z,2025-08-19T20:22:51Z,Rust,881,79,908,644
hankcs/HanLP,2014-10-09T06:36:16Z,2025-08-19T16:00:02Z,Python,79,62,1429,1421
alvarotrigo/fullPage.js,2013-09-20T11:58:29Z,2025-08-19T17:03:52Z,JavaScript,320,105,4131,3999
airbnb/lottie-android,2016-10-06T22:42:42Z,2025-08-19T14:57:42Z,Java,713,59,1778,1744
PKUanonym/REKCARC-TSC-UHT,2019-04-05T03:31:23Z,2025-08-19T17:11:24Z,HTML,170,0,32,30
kilimchoi/engineering-blogs,2015-06-13T18:25:17Z,2025-08-19T19:21:28Z,Ruby,681,0,97,74
markedjs/marked,2011-07-24T13:15:51Z,2025-08-19T14:51:14Z,TypeScript,1554,156,1603,1591
mindsdb/mindsdb,2018-08-02T17:56:45Z,2025-08-19T19:54:40Z,Python,5367,311,4302,4246
jondot/awesome-react-native,2015-03-26T19:58:06Z,2025-08-19T12:46:16Z,JavaScript,912,0,73,35
zen-browser/desktop,2024-03-28T00:05:55Z,2025-08-19T19:48:27Z,C++,478,115,6902,6514
nativefier/nativefier,2015-07-05T05:56:42Z,2025-08-19T15:20:38Z,TypeScript,261,99,1237,982
spacedriveapp/spacedrive,2021-09-27T05:09:04Z,2025-08-19T17:14:11Z,TypeScript,1881,26,506,388
junegunn/vim-plug,2013-09-10T14:58:51Z,2025-08-19T13:30:15Z,Vim Script,177,8,1037,966
HeyPuter/puter,2024-03-03T01:44:32Z,2025-08-19T20:14:09Z,JavaScript,588,8,693,513
sqlmapproject/sqlmap,2012-06-26T09:52:15Z,2025-08-19T20:07:46Z,Python,173,10,5343,5296
huggingface/pytorch-image-models,2019-02-02T05:51:12Z,2025-08-19T13:52:06Z,Python,479,69,997,946
sahat/hackathon-starter,2013-11-13T17:24:12Z,2025-08-19T17:35:17Z,JavaScript,347,17,680,670
twentyhq/twenty,2022-12-01T13:04:40Z,2025-08-19T19:52:49Z,TypeScript,7166,45,5190,4999
unknwon/the-way-to-go_ZH_CN,2013-03-24T17:18:38Z,2025-08-19T07:47:47Z,Go,592,0,0,0
alebcay/awesome-shell,2014-07-07T01:57:42Z,2025-08-19T18:57:35Z,,307,0,62,23
pola-rs/polars,2020-05-13T19:45:33Z,2025-08-19T15:43:13Z,Rust,11468,226,11276,8708
bumptech/glide,2013-07-08T22:52:33Z,2025-08-19T12:02:25Z,Java,570,47,4482,3920
TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,2025-08-19T20:05:34Z,Java,1661,137,9622,8401
fengdu78/Coursera-ML-AndrewNg-Notes,2017-11-04T10:04:08Z,2025-08-19T13:47:29Z,HTML,13,0,68,15
doocs/leetcode,2018-09-16T14:03:03Z,2025-08-19T16:28:42Z,Java,4091,21,56,56
reworkd/AgentGPT,2023-04-07T02:29:19Z,2025-08-19T16:08:56Z,TypeScript,539,12,467,337
mudler/LocalAI,2023-03-18T22:58:02Z,2025-08-19T18:02:22Z,Go,3914,83,1080,696
outline/outline,2016-05-22T21:31:47Z,2025-08-19T18:50:16Z,TypeScript,3337,147,3489,3398
yeongpin/cursor-free-vip,2025-01-11T08:14:22Z,2025-08-19T19:54:43Z,Python,74,69,1019,473
microsoft/ai-agents-for-beginners,2024-11-28T10:42:52Z,2025-08-19T20:08:35Z,Jupyter Notebook,145,0,67,56
sorrycc/awesome-javascript,2014-07-01T15:59:02Z,2025-08-19T19:33:31Z,,393,0,93,88
BVLC/caffe,2013-09-12T18:39:48Z,2025-08-19T17:50:34Z,C++,1087,14,4801,3902
charmbracelet/bubbletea,2020-01-10T21:04:03Z,2025-08-19T17:39:02Z,Go,628,62,367,294
chenfei-wu/TaskMatrix,2023-03-02T09:04:28Z,2025-08-19T15:40:34Z,Python,21,0,357,136
nodejs/node-v0.x-archive,2009-05-27T16:29:46Z,2025-08-19T17:17:15Z,,218,0,6379,6379
fastify/fastify,2016-09-28T19:10:14Z,2025-08-19T17:30:29Z,JavaScript,3135,298,2091,2014
ghostty-org/ghostty,2022-03-29T17:38:26Z,2025-08-19T20:21:17Z,Zig,2581,1,1773,1631
netty/netty,2010-11-09T09:22:21Z,2025-08-19T17:08:46Z,Java,4425,0,6710,6099
fxsjy/jieba,2012-09-29T07:52:01Z,2025-08-19T20:11:25Z,Python,96,9,866,228
jaredpalmer/formik,2017-06-14T19:50:59Z,2025-08-19T17:20:00Z,TypeScript,829,196,2259,1558
xitu/gold-miner,2015-11-04T03:29:13Z,2025-08-19T15:57:36Z,,3563,0,5601,5592
karpathy/LLM101n,2024-05-27T00:23:38Z,2025-08-19T19:07:18Z,,0,0,0,0
geekan/HowToLiveLonger,2022-04-16T04:15:18Z,2025-08-19T15:03:36Z,,14,0,138,103
huiyadanli/RevokeMsgPatcher,2019-07-21T15:12:52Z,2025-08-19T19:03:42Z,C#,11,21,878,832
zenorocha/clipboard.js,2015-09-18T23:04:55Z,2025-08-19T15:24:59Z,JavaScript,117,42,629,618
roboflow/supervision,2022-11-28T14:08:44Z,2025-08-19T20:12:33Z,Python,967,33,489,415
ManimCommunity/manim,2020-05-19T02:37:13Z,2025-08-19T18:51:43Z,Python,1925,29,1680,1307
solidjs/solid,2018-04-24T16:36:27Z,2025-08-19T18:40:40Z,TypeScript,385,35,1095,996
myshell-ai/OpenVoice,2023-11-29T12:17:01Z,2025-08-19T18:28:03Z,Python,17,0,316,67
testerSunshine/12306,2017-05-17T12:23:40Z,2025-08-19T11:25:43Z,Python,31,1,691,466
portainer/portainer,2016-05-19T20:15:28Z,2025-08-19T19:29:58Z,TypeScript,4777,161,5892,5278
llvm/llvm-project,2016-12-07T09:39:33Z,2025-08-19T20:03:53Z,LLVM,55348,136,86416,60146
atlassian/react-beautiful-dnd,2017-08-09T03:37:15Z,2025-08-18T04:37:04Z,JavaScript,530,68,1617,1045
jaywcjlove/linux-command,2016-11-12T15:44:26Z,2025-08-19T20:03:59Z,Markdown,354,31,207,133
typicode/husky,2014-06-23T12:14:21Z,2025-08-19T17:18:07Z,JavaScript,262,80,1088,1016
laravel/framework,2013-01-10T21:27:28Z,2025-08-19T15:59:48Z,PHP,16625,855,18866,18825
python-poetry/poetry,2018-02-28T15:23:47Z,2025-08-19T17:54:47Z,Python,2331,142,6232,5713
xkcoding/spring-boot-demo,2017-11-10T06:27:29Z,2025-08-19T07:49:54Z,Java,15,0,173,73
geekcomputers/Python,2011-11-30T09:04:08Z,2025-08-19T12:54:50Z,Python,1846,0,486,149
anoma/anoma,2021-02-02T10:00:16Z,2025-08-19T20:10:41Z,Elixir,856,10,699,578
shadowsocks/shadowsocks,2012-04-20T13:10:49Z,2025-08-19T15:19:09Z,Python,70,2,0,0
zsh-users/zsh-autosuggestions,2013-10-26T16:09:37Z,2025-08-19T20:14:43Z,Shell,116,0,612,458
halfrost/LeetCode-Go,2017-07-18T00:06:14Z,2025-08-19T09:32:54Z,Go,178,4,80,64
Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,2025-08-19T06:19:30Z,Java,88,117,1589,1280
alibaba/easyexcel,2018-02-06T03:14:08Z,2025-08-19T16:56:29Z,Java,190,14,3617,3131
AFNetworking/AFNetworking,2011-05-31T21:28:44Z,2025-08-19T19:22:58Z,Objective-C,710,40,0,0
zxing/zxing,2011-10-12T14:07:27Z,2025-08-19T08:01:20Z,Java,318,31,1324,1314
TheAlgorithms/JavaScript,2017-07-13T06:12:33Z,2025-08-19T17:04:52Z,JavaScript,795,0,209,200
deepseek-ai/awesome-deepseek-integration,2024-01-11T02:43:17Z,2025-08-19T11:44:38Z,,230,0,126,39
mattermost/mattermost,2015-06-15T06:50:02Z,2025-08-19T20:15:26Z,TypeScript,19234,839,9043,8378
aseprite/aseprite,2014-08-19T23:44:50Z,2025-08-19T19:11:01Z,C++,406,117,4282,2495
ShareX/ShareX,2013-10-08T23:32:10Z,2025-08-19T19:25:13Z,C#,748,83,6865,6353
veggiemonk/awesome-docker,2014-09-21T17:01:48Z,2025-08-19T19:10:08Z,,939,1,130,127
XX-net/XX-Net,2015-01-15T09:35:51Z,2025-08-19T09:08:12Z,Python,363,388,13333,5418
Pythagora-io/gpt-pilot,2023-08-16T11:56:07Z,2025-08-19T19:49:43Z,Python,393,0,550,314
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,2015-03-28T16:52:40Z,2025-08-19T16:15:50Z,JavaScript,98,0,29,20
ehang-io/nps,2018-11-04T13:22:51Z,2025-08-19T15:47:01Z,Go,74,59,1199,697
exelban/stats,2019-05-29T19:24:56Z,2025-08-19T18:30:01Z,Swift,409,301,2178,2150
jax-ml/jax,2018-10-25T21:25:02Z,2025-08-19T19:52:45Z,Python,15029,125,6462,4877
carbon-language/carbon-lang,2020-04-27T21:45:16Z,2025-08-19T18:37:24Z,C++,4347,408,712,561
adobe/brackets,2011-12-07T21:14:40Z,2025-08-19T03:31:34Z,JavaScript,4332,69,9680,7063
harness/harness,2014-02-07T07:54:44Z,2025-08-19T17:38:49Z,Go,1047,53,2006,1933
danielmiessler/Fabric,2024-01-03T23:18:31Z,2025-08-19T20:23:07Z,JavaScript,434,247,739,629
gulpjs/gulp,2013-07-04T05:26:06Z,2025-08-19T08:25:57Z,JavaScript,411,24,1937,1908
immutable-js/immutable-js,2014-07-02T06:02:29Z,2025-08-19T17:47:54Z,TypeScript,597,89,1262,1169
bilibili/ijkplayer,2013-06-03T04:12:04Z,2025-08-19T06:12:31Z,C,35,0,5375,2548
SeleniumHQ/selenium,2013-01-14T21:40:56Z,2025-08-19T18:34:19Z,Java,3004,108,10930,10784
qishibo/AnotherRedisDesktopManager,2019-01-08T06:01:56Z,2025-08-19T19:23:29Z,JavaScript,152,53,1066,927
hashicorp/vault,2015-02-25T00:15:59Z,2025-08-19T19:22:12Z,Go,21302,168,6385,5243
mifi/lossless-cut,2016-10-30T10:49:56Z,2025-08-19T20:01:19Z,TypeScript,202,100,1632,1426
CMU-Perceptual-Computing-Lab/openpose,2017-04-24T14:06:31Z,2025-08-19T05:21:25Z,C++,174,15,2004,1667
lllyasviel/ControlNet,2023-02-01T02:43:30Z,2025-08-19T12:19:52Z,Python,4,0,569,138
YunaiV/ruoyi-vue-pro,2021-01-24T03:18:25Z,2025-08-19T16:24:08Z,Java,62,44,644,640
shadowsocks/ShadowsocksX-NG,2016-06-10T11:49:00Z,2025-08-19T09:37:13Z,Swift,64,30,1358,1050
bayandin/awesome-awesomeness,2014-07-08T05:44:19Z,2025-08-19T14:18:44Z,Ruby,197,0,68,52
PatrickJS/awesome-cursorrules,2024-09-16T15:38:38Z,2025-08-19T18:33:04Z,MDX,64,0,40,8
lib-pku/libpku,2018-11-22T13:33:06Z,2025-08-19T16:31:35Z,TeX,22,0,43,32
TheAlgorithms/C-Plus-Plus,2016-07-16T10:19:45Z,2025-08-19T17:04:30Z,C++,685,0,321,311
AmruthPillai/Reactive-Resume,2020-03-25T14:08:22Z,2025-08-19T18:45:56Z,TypeScript,633,95,1567,1247
swc-project/swc,2017-12-22T11:40:14Z,2025-08-19T15:21:48Z,Rust,5588,712,3970,3563
facebookresearch/detectron2,2019-09-05T21:30:20Z,2025-08-19T20:08:39Z,Python,0,10,3555,3091
qbittorrent/qBittorrent,2012-02-04T09:37:46Z,2025-08-19T20:08:36Z,C++,3928,0,16842,14546
alan2207/bulletproof-react,2021-05-30T14:47:16Z,2025-08-19T19:08:21Z,TypeScript,70,0,115,77
jqlang/jq,2012-07-18T19:57:25Z,2025-08-19T19:43:31Z,C,640,15,2283,1920
DataTalksClub/data-engineering-zoomcamp,2021-10-21T09:32:50Z,2025-08-19T16:00:40Z,Jupyter Notebook,395,0,136,134
pnpm/pnpm,2016-01-28T07:40:43Z,2025-08-19T19:35:22Z,TypeScript,2673,1000,4885,3015
certbot/certbot,2014-11-12T02:52:20Z,2025-08-19T16:56:28Z,Python,4003,62,5464,5338
pbatard/rufus,2011-11-19T19:12:05Z,2025-08-19T17:00:29Z,C,1,84,2511,2503
ibraheemdev/modern-unix,2021-01-12T00:50:14Z,2025-08-19T15:47:39Z,,15,0,83,30
drawdb-io/drawdb,2023-07-16T17:09:20Z,2025-08-19T18:15:54Z,JavaScript,232,0,240,157
google/material-design-lite,2015-01-14T22:01:33Z,2025-08-19T17:06:58Z,HTML,655,14,2195,1813
pcottle/learnGitBranching,2012-08-13T22:36:09Z,2025-08-19T15:47:58Z,JavaScript,604,0,516,467
refinedev/refine,2021-01-20T12:01:32Z,2025-08-19T19:42:35Z,TypeScript,4423,1000,1653,1622
gchq/CyberChef,2016-11-28T10:34:07Z,2025-08-19T18:37:49Z,JavaScript,510,447,1056,626
beego/beego,2012-02-29T02:32:08Z,2025-08-19T17:11:16Z,Go,1325,42,3374,3366
SerenityOS/serenity,2018-12-02T19:28:41Z,2025-08-19T18:22:04Z,C++,19524,0,4248,3522
explosion/spaCy,2014-07-03T15:15:40Z,2025-08-19T17:08:59Z,Python,3590,129,5716,5550
xinntao/Real-ESRGAN,2021-07-19T03:23:30Z,2025-08-19T20:01:40Z,Python,21,10,725,171
CorentinTh/it-tools,2020-04-05T11:50:24Z,2025-08-19T19:26:15Z,Vue,491,10,617,199
lizongying/my-tv,2023-12-04T12:18:39Z,2025-08-19T15:07:40Z,C,11,72,919,774
mckaywrigley/chatbot-ui,2023-03-11T14:53:14Z,2025-08-19T10:58:56Z,TypeScript,280,0,993,817
directus/directus,2012-12-12T01:35:36Z,2025-08-19T19:25:01Z,TypeScript,8081,342,9353,9052
The-Run-Philosophy-Organization/run,2022-04-10T05:42:40Z,2025-08-19T17:14:41Z,,171,0,256,214
duckdb/duckdb,2018-06-26T15:04:45Z,2025-08-19T20:23:27Z,C++,8184,51,6116,5657
ueberdosis/tiptap,2018-08-20T19:58:58Z,2025-08-19T17:00:39Z,TypeScript,1247,896,3230,2534
TabbyML/tabby,2023-03-16T09:18:01Z,2025-08-19T17:31:37Z,Rust,2969,241,937,733
agno-agi/agno,2022-05-04T15:23:02Z,2025-08-19T19:17:57Z,Python,1729,85,1261,1131
alibaba/nacos,2018-06-15T06:49:27Z,2025-08-19T15:04:59Z,Java,3152,83,9152,8896
Chanzhaoyu/chatgpt-web,2023-02-09T03:21:37Z,2025-08-19T15:09:31Z,Vue,159,43,1747,1747
balena-io/etcher,2015-10-27T16:53:23Z,2025-08-19T15:51:20Z,TypeScript,1731,289,2379,1822
yewstack/yew,2017-12-16T14:19:02Z,2025-08-19T19:57:08Z,Rust,1797,35,1255,1143
pathwaycom/pathway,2022-11-27T13:01:14Z,2025-08-19T19:20:48Z,Python,5,75,97,53
